Comp,Event,Date,Time,Inst,Ptimepick,Stimepick
manual,41,02/11/2023,02:29:36,4,,
manual,41,02/11/2023,02:29:36,5,11.68,12.94
manual,41,02/11/2023,02:29:36,6,11.6,12.77
manual,41,02/11/2023,02:29:36,7,13.5,16.07
manual,41,02/11/2023,02:29:36,8,13.43,15.95
manual,41,02/11/2023,02:29:36,9,14.2,17.24
manual,41,02/11/2023,02:29:36,10,14.16,17.17
manual,78,02/11/2023,08:24:08,1,12.51,14.37
manual,78,02/11/2023,08:24:08,2,12.47,14.25
manual,78,02/11/2023,08:24:08,3,,
manual,78,02/11/2023,08:24:08,4,,
manual,78,02/11/2023,08:24:08,5,13.55,16.21
manual,78,02/11/2023,08:24:08,6,13.49,16.01
manual,78,02/11/2023,08:24:08,7,12.55,14.29
manual,78,02/11/2023,08:24:08,8,,14.17
manual,78,02/11/2023,08:24:08,9,12.17,13.73
manual,78,02/11/2023,08:24:08,10,12.1,13.59
manual,96,02/11/2023,18:42:22,1,12.56,14.39
manual,96,02/11/2023,18:42:22,2,12.48,14.24
manual,96,02/11/2023,18:42:22,3,15.98,20.2
manual,96,02/11/2023,18:42:22,4,15.92,20.13
manual,96,02/11/2023,18:42:22,5,13.89,16.81
manual,96,02/11/2023,18:42:22,6,13.81,16.37
manual,96,02/11/2023,18:42:22,7,12.58,14.4
manual,96,02/11/2023,18:42:22,8,12.49,14.25
manual,96,02/11/2023,18:42:22,9,12.29,13.91
manual,96,02/11/2023,18:42:22,10,12.2,13.76
manual,110,04/11/2023,07:52:46,1,12.49,14.14
manual,110,04/11/2023,07:52:46,2,12.43,14.03
manual,110,04/11/2023,07:52:46,3,,
manual,110,04/11/2023,07:52:46,4,,
manual,110,04/11/2023,07:52:46,5,13.85,16.59
manual,110,04/11/2023,07:52:46,6,13.58,16.4
manual,110,04/11/2023,07:52:46,7,12.58,14.21
manual,110,04/11/2023,07:52:46,8,12.49,14.08
manual,110,04/11/2023,07:52:46,9,12.19,13.6
manual,110,04/11/2023,07:52:46,10,12.07,13.42
manual,111,05/11/2023,14:15:04,1,12.37,14.13
manual,111,05/11/2023,14:15:04,2,12.31,14.01
manual,111,05/11/2023,14:15:04,3,,
manual,111,05/11/2023,14:15:04,4,,
manual,111,05/11/2023,14:15:04,5,13.65,16.38
manual,111,05/11/2023,14:15:04,6,13.56,16.2
manual,111,05/11/2023,14:15:04,7,12.39,14.1
manual,111,05/11/2023,14:15:04,8,12.31,13.94
manual,111,05/11/2023,14:15:04,9,13.56,14.9
manual,111,05/11/2023,14:15:04,10,13.42,14.82
manual,77,06/11/2023,00:56:46,1,14.35,17.53
manual,77,06/11/2023,00:56:46,2,14.31,17.41
manual,77,06/11/2023,00:56:46,3,15.92,20.3
manual,77,06/11/2023,00:56:46,4,15.85,20.15
manual,77,06/11/2023,00:56:46,5,11.83,13.17
manual,77,06/11/2023,00:56:46,6,11.72,12.99
manual,77,06/11/2023,00:56:46,7,12.58,14.47
manual,77,06/11/2023,00:56:46,8,12.5,14.33
manual,77,06/11/2023,00:56:46,9,13.24,15.6
manual,77,06/11/2023,00:56:46,10,13.19,15.53
manual,43,07/11/2023,09:53:47,1,12.19,13.72
manual,43,07/11/2023,09:53:47,2,12.12,13.59
manual,43,07/11/2023,09:53:47,3,15.75,19.74
manual,43,07/11/2023,09:53:47,4,15.72,19.68
manual,43,07/11/2023,09:53:47,5,13.88,16.74
manual,43,07/11/2023,09:53:47,6,13.79,16.55
manual,43,07/11/2023,09:53:47,7,12.47,14.18
manual,43,07/11/2023,09:53:47,8,12.39,14.05
manual,43,07/11/2023,09:53:47,9,11.99,13.39
manual,43,07/11/2023,09:53:47,10,11.91,13.25
manual,65,08/11/2023,14:25:09,1,14.25,17.35
manual,65,08/11/2023,14:25:09,2,14.21,17.24
manual,65,08/11/2023,14:25:09,3,,
manual,65,08/11/2023,14:25:09,4,,
manual,65,08/11/2023,14:25:09,5,11.93,13.32
manual,65,08/11/2023,14:25:09,6,11.81,13.15
manual,65,08/11/2023,14:25:09,7,12.57,14.42
manual,65,08/11/2023,14:25:09,8,12.48,14.27
manual,65,08/11/2023,14:25:09,9,13.17,15.47
manual,65,08/11/2023,14:25:09,10,13.07,15.36
